id,longitude,latitude
276,13.455907,52.5356482
277,13.458337,52.5357478
279,13.4566281,52.5348983
8855,13.471075,52.5356002
8856,13.4628776,52.5324258
379,13.4581397,52.5319649
380,13.4608575,52.5314684
8998,13.4527437,52.5391133
8999,13.4528148,52.5391993
449,13.4656706,52.5367094
450,13.4631142,52.5325716
9008,13.4518733,52.5397372
9013,13.4484393,52.5378481
9032,13.4479892,52.5364442
9033,13.4473244,52.5360218
673,13.466379,52.5367437
748,13.4583857,52.5358413
749,13.458758,52.5375912
750,13.4642337,52.5370856
9094,13.4475148,52.535694
9095,13.447631,52.5357707
9096,13.4482812,52.5361821
9113,13.4501722,52.5363444
9114,13.4523278,52.5341614
9119,13.457301,52.5290259
9122,13.4556877,52.5306923
9123,13.4560763,52.5308537
9124,13.456019,52.5309111
9127,13.4556105,52.5307691
9154,13.4628276,52.5325048
9155,13.46292,52.5324481
9157,13.4618991,52.5308027
9158,13.4632513,52.5322838
9159,13.4627765,52.5323069
9160,13.4630855,52.5322256
1167,13.4581452,52.5323578
1168,13.4581767,52.5321226
1169,13.458242,52.5349818
1170,13.4567139,52.5349257
1224,13.4623119,52.5352013
1225,13.4604841,52.5369368
9353,13.4548649,52.5315877
9354,13.453675,52.53279
9355,13.4531831,52.5332852
9357,13.4500011,52.5385903
9419,13.4542698,52.5401579
9420,13.4543711,52.5402243
1784,13.4579843,52.5379136
1934,13.4554412,52.5407959
1935,13.4566901,52.5398755
2159,13.4598619,52.5387039
2160,13.4616967,52.5378357
2161,13.4610635,52.5373173
2162,13.4647709,52.5369536
2163,13.459593,52.536105
2164,13.4625104,52.5358824
2165,13.4656337,52.5363228
2166,13.4628114,52.5325205
2167,13.4595293,52.5361936
2177,13.4620309,52.5342929
2190,13.4554591,52.5361669
2191,13.4558499,52.5357091
9887,13.460833,52.532847
9888,13.4609137,52.5329895
2577,13.4528182,52.5389505
2578,13.4543601,52.5370911
2640,13.4611136,52.5298563
2641,13.4611966,52.5296884
2722,13.446962,52.5360883
2960,13.4452602,52.5358919
3273,13.4586209,52.5319625
3274,13.459048,52.5331082
3490,13.4628728,52.5364105
3696,13.4596503,52.5315155
3700,13.461019,52.5316865
3701,13.4615102,52.5322092
3703,13.4578869,52.5315853
3704,13.4585467,52.5316666
4202,13.4559729,52.5288184
4203,13.4559388,52.5288608
4324,13.4548576,52.5285678
4473,13.4524858,52.5393935
4474,13.4527224,52.5392579
4480,13.4553708,52.5408632
4785,13.4577866,52.5316329
4786,13.4572112,52.5315373
11513,13.4573807,52.5288973
11530,13.4602065,52.5315858
11531,13.4599847,52.5316304
11532,13.4594046,52.5305018
11533,13.4602694,52.5317141
11534,13.460902,52.5315285
11537,13.4598951,52.5309681
11538,13.4596472,52.5304908
11539,13.4598291,52.530841
11540,13.4604333,52.5308126
11541,13.4612527,52.5304346
11542,13.458089,52.5320734
11566,13.4570686,52.5311975
11567,13.4560946,52.5308365
11568,13.4571785,52.5312377
11569,13.4595135,52.5307136
11570,13.4600519,52.5317629
11571,13.4606892,52.5330383
11572,13.460617,52.5328924
11573,13.4596843,52.5331753
11574,13.4594981,52.533201
11577,13.458492,52.5333404
11578,13.4582526,52.5320628
11579,13.4582459,52.5320135
11580,13.4581963,52.5318825
11581,13.4616436,52.5312922
5872,13.449516,52.5369451
5873,13.4491679,52.5371906
5934,13.4470369,52.5352688
5935,13.446938,52.5353687
6290,13.4618698,52.5352344
6291,13.4626274,52.53726
6366,13.4471937,52.5359387
6367,13.4472908,52.5358478
6370,13.4474047,52.5357592
6635,13.4462533,52.5354746
6636,13.4457219,52.5357007
6637,13.4471772,52.5359541
6646,13.4610547,52.5331829
6648,13.4609913,52.533195
6745,13.4463756,52.5354219
6746,13.4462761,52.5353583
6747,13.4464728,52.5354855
7135,13.4528137,52.538955
7136,13.4526972,52.5390832
7155,13.4612941,52.5300022
7395,13.4498644,52.5372313
7396,13.4495339,52.5374215
7397,13.4493624,52.5373184
7477,13.4607912,52.5298234
7478,13.4576953,52.529176
7479,13.4572717,52.5290575
7481,13.4559894,52.5287913
7766,13.4562782,52.5283934
7767,13.456214,52.5285173
7768,13.4560529,52.5286501
7960,13.4598414,52.5387681
7961,13.4620832,52.5353182
7962,13.4617826,52.5352002
12609,13.4601311,52.5354287
12610,13.4583024,52.5356816
12611,13.4580967,52.5356769
12614,13.459492,52.5355171
12615,13.4599443,52.5354545
12626,13.4600943,52.5352433
12627,13.4596324,52.5330278
12628,13.4594454,52.5330535
12637,13.4566572,52.5347161
12638,13.4582939,52.5332108
12639,13.4584706,52.5331862
12640,13.4583107,52.5334264
12641,13.456545,52.5348717
12642,13.456066,52.5355904
12643,13.4559254,52.5357346
12644,13.4556839,52.5357531
12867,13.452058,52.527811
13113,13.4566115,52.5302578
14529,13.4569443,52.5357671
14534,13.4560721,52.5355841
14655,13.4583077,52.5323465
14693,13.4493915,52.5373364