id,junction_in,junction_out,direction,distance
144,277,276,B,271.99237756057
4003,2191,276,B,12.8305149503929
11611,279,276,B,159.001003803383
11145,748,277,B,17.9498025635631
144,276,277,B,271.99237756057
4004,6290,277,B,404.985005935824
9445,12610,277,B,12.7128424268661
11611,276,279,B,159.001003803383
6066,8856,8855,B,1085.12532986006
6066,8855,8856,B,1085.12532986006
8417,9159,8856,B,24.4966784646119
201,380,379,B,317.500984613108
201,379,380,B,317.500984613108
10296,11534,380,B,12.0620555765401
8439,11581,380,B,95.4879900525913
6260,7136,8998,B,7.55938801440208
6214,8999,8998,B,17.6181045469684
6214,8998,8999,B,17.6181045469684
6626,9419,8999,B,239.024732655868
6625,4474,8999,B,14.8604256029982
239,450,449,B,863.791645785631
402,750,449,B,174.250647629711
589,673,449,B,81.0266444444879
239,449,450,B,863.791645785631
6220,4473,9008,B,92.7693941198379
6223,7396,9013,B,144.846257655148
6567,9357,9013,B,951.90251037025
6255,5873,9032,B,189.429642165918
6259,9033,9032,B,107.017721494081
6258,6366,9033,B,21.047070984542
6259,9032,9033,B,107.017721494081
589,449,673,B,81.0266444444879
401,749,748,B,327.608254604685
1274,2163,748,B,151.418918423087
11145,277,748,B,17.9498025635631
1276,2159,749,B,243.107486168275
401,748,749,B,327.608254604685
1028,1784,749,B,104.778586687258
402,449,750,B,174.250647629711
4005,2160,750,B,314.883197310165
6319,6370,9094,B,17.1054528185269
6320,5935,9095,B,106.777639590186
6321,9096,9095,B,104.439520385503
6321,9095,9096,B,104.439520385503
6322,5872,9096,B,195.997990576733
6564,5872,9113,B,132.590366725884
6334,9114,9113,B,466.043572711394
6334,9113,9114,B,466.043572711394
6563,9355,9114,B,186.486308346011
6337,7479,9119,B,6.63875390593635
8371,11513,9119,B,25.192701852424
6342,9127,9122,B,16.473009878974
6339,7479,9122,B,356.727085236018
6340,9124,9123,B,12.2887710460425
9971,11567,9123,B,3.74917887915041
6340,9123,9124,B,12.2887710460425
6560,9353,9127,B,172.949235968813
6342,9122,9127,B,16.473009878974
6370,2166,9154,B,3.39214577902608
6369,9155,9154,B,14.6102923576721
6369,9154,9155,B,14.6102923576721
8571,7155,9157,B,162.017933729488
6372,9158,9157,B,316.572881074465
6372,9157,9158,B,316.572881074465
8417,8856,9159,B,24.4966784646119
6373,7477,9159,B,505.597884702791
6374,9160,9159,B,37.4772888570112
7027,9887,9159,B,237.856806321686
6374,9159,9160,B,37.4772888570112
11478,14655,1167,B,18.2072271891086
8399,11542,1167,B,52.4223292717974
654,1168,1167,B,64.9264331955494
654,1167,1168,B,64.9264331955494
655,1170,1169,B,170.421461352835
655,1169,1170,B,170.421461352835
9468,12641,1170,B,21.2408125100361
9469,12642,1170,B,141.420074956542
5242,2163,1224,B,350.614546203462
1277,2177,1224,B,169.85149488076
694,1225,1224,B,413.378973082124
694,1224,1225,B,413.378973082124
6561,9354,9353,B,256.812434323329
6560,9127,9353,B,172.949235968813
6561,9353,9354,B,256.812434323329
6562,9355,9354,B,105.882875178715
6562,9354,9355,B,105.882875178715
6563,9114,9355,B,186.486308346011
6567,9013,9357,B,951.90251037025
6626,8999,9419,B,239.024732655868
6627,9420,9419,B,16.578982152342
6628,4480,9420,B,161.428695896973
6627,9419,9420,B,16.578982152342
1028,749,1784,B,104.778586687258
1127,1935,1934,B,222.890888103755
8675,4480,1934,B,14.5997191445508
1127,1934,1935,B,222.890888103755
1263,2160,2159,B,262.97417492833
5241,7960,2159,B,11.9696655606954
1276,749,2159,B,243.107486168275
4005,750,2160,B,314.883197310165
4006,6291,2160,B,148.04751060446
1263,2159,2160,B,262.97417492833
1269,2167,2160,B,489.095289348333
1265,2163,2161,B,332.283447617834
2133,3490,2161,B,279.587996356355
1267,2164,2161,B,420.07661723683
1264,2162,2161,B,432.71023275316
1264,2161,2162,B,432.71023275316
1265,2161,2163,B,332.283447617834
5242,1224,2163,B,350.614546203462
1274,748,2163,B,151.418918423087
1268,2166,2164,B,731.762830588809
1267,2161,2164,B,420.07661723683
1266,2165,2164,B,383.535607120598
1266,2164,2165,B,383.535607120598
1268,2164,2166,B,731.762830588809
6370,9154,2166,B,3.39214577902608
1269,2160,2167,B,489.095289348333
1277,1224,2177,B,169.85149488076
9470,12643,2190,B,101.093001284503
1284,2191,2190,B,94.4040964445704
4003,276,2191,B,12.8305149503929
2497,2578,2191,B,304.796960695957
1284,2190,2191,B,94.4040964445704
7028,9888,9887,B,27.5837565353864
7027,9159,9887,B,237.856806321686
8435,11572,9887,B,25.4398967682544
8436,11533,9887,B,216.602321748339
8437,11571,9888,B,26.538905446609
8418,6648,9888,B,38.8016441605823
7028,9887,9888,B,27.5837565353864
4616,7135,2577,B,0.963987631558801
1541,2578,2577,B,417.639410879751
1541,2577,2578,B,417.639410879751
2497,2191,2578,B,304.796960695957
4632,7155,2640,B,35.9627592639043
1580,2641,2640,B,32.082630197084
4867,7477,2640,B,36.3909062071216
1580,2640,2641,B,32.082630197084
4276,6637,2722,B,34.3222382367395
4274,6636,2960,B,62.197695515601
1994,3274,3273,B,214.990434231216
8431,11579,3273,B,42.7753389731172
8416,11570,3273,B,163.432087924875
1994,3273,3274,B,214.990434231216
2133,2161,3490,B,279.587996356355
2265,3704,3696,B,125.926198518825
10297,11534,3700,B,31.71116004454
2261,3701,3700,B,131.167287225011
2261,3700,3701,B,131.167287225011
2263,3704,3703,B,88.928670072034
8429,4785,3703,B,14.1611393886267
2263,3703,3704,B,88.928670072034
2265,3696,3704,B,125.926198518825
9755,7481,4202,B,5.28806146121232
2658,4324,4202,B,132.356435974034
9753,7479,4202,B,151.056441781408
2589,4203,4202,B,8.63730999701564
2589,4202,4203,B,8.63730999701564
2658,4202,4324,B,132.356435974034
9757,12867,4324,B,342.569536458957
2751,4474,4473,B,36.1967585220288
6220,9008,4473,B,92.7693941198379
2751,4473,4474,B,36.1967585220288
6625,8999,4474,B,14.8604256029982
6628,9420,4480,B,161.428695896973
8675,1934,4480,B,14.5997191445508
8428,11542,4785,B,88.4738692515894
2989,4786,4785,B,71.5856204982296
8429,3703,4785,B,14.1611393886267
2989,4785,4786,B,71.5856204982296
8371,9119,11513,B,25.192701852424
8394,11537,11530,B,118.230633353734
8389,11531,11530,B,26.0046115560837
8392,11533,11530,B,24.5000160527349
8433,11580,11531,B,204.358986516348
8390,11532,11531,B,216.384860857362
8389,11530,11531,B,26.0046115560837
8438,11572,11531,B,241.434254657594
8390,11531,11532,B,216.384860857362
8436,9887,11533,B,216.602321748339
8434,11570,11533,B,25.8063479633076
8392,11530,11533,B,24.5000160527349
8391,11534,11533,B,78.1831643034238
10296,380,11534,B,12.0620555765401
8391,11533,11534,B,78.1831643034238
10297,3700,11534,B,31.71116004454
8396,11540,11537,B,66.326142752718
8398,11539,11537,B,24.3910154574246
8394,11530,11537,B,118.230633353734
8395,11539,11538,B,67.206120811504
8397,11541,11539,B,175.05600048312
8398,11537,11539,B,24.3910154574246
8395,11538,11539,B,67.206120811504
8396,11537,11540,B,66.326142752718
8397,11539,11541,B,175.05600048312
8428,4785,11542,B,88.4738692515894
8427,11578,11542,B,18.3148823220336
8399,1167,11542,B,52.4223292717974
8414,11568,11566,B,14.2753708671918
8413,11567,11566,B,126.965103511316
9994,13113,11567,B,124.642732193966
9971,9123,11567,B,3.74917887915041
8413,11566,11567,B,126.965103511316
8415,11569,11568,B,295.537198890152
8414,11566,11568,B,14.2753708671918
8430,11580,11568,B,168.759335430406
8415,11568,11569,B,295.537198890152
8416,3273,11570,B,163.432087924875
8434,11533,11570,B,25.8063479633076
8422,11573,11571,B,114.63997719388
8419,7962,11571,B,413.93762255393
8420,11572,11571,B,27.8831110291951
8437,9888,11571,B,26.538905446609
8435,9887,11572,B,25.4398967682544
8420,11571,11572,B,27.8831110291951
8425,11578,11572,B,451.918380696962
8438,11531,11572,B,241.434254657594
9457,12627,11573,B,27.6038935972019
9456,12626,11573,B,381.195885802475
8421,11574,11573,B,21.2545607759733
8422,11571,11573,B,114.63997719388
9458,12628,11574,B,27.6226860450172
9459,12615,11574,B,415.382648333798
8421,11573,11574,B,21.2545607759733
8424,11577,11574,B,114.86709406911
9466,12640,11577,B,25.6000232158275
8424,11574,11577,B,114.86709406911
9447,12610,11577,B,428.973069956049
8427,11542,11578,B,18.3148823220336
8425,11572,11578,B,451.918380696962
8426,11579,11578,B,9.05246273253649
8431,3273,11579,B,42.7753389731172
8432,11580,11579,B,24.6000340595124
8426,11578,11579,B,9.05246273253649
8430,11568,11580,B,168.759335430406
8433,11531,11580,B,204.358986516348
8432,11579,11580,B,24.6000340595124
8439,380,11581,B,95.4879900525913
6322,9096,5872,B,195.997990576733
4794,7395,5872,B,67.2881639293335
3720,5873,5872,B,59.3344147405105
6564,9113,5872,B,132.590366725884
6255,9032,5873,B,189.429642165918
4796,7397,5873,B,32.1147029932474
3720,5872,5873,B,59.3344147405105
3759,5935,5934,B,21.3415935941732
3759,5934,5935,B,21.3415935941732
6320,9095,5935,B,106.777639590186
4004,277,6290,B,404.985005935824
4006,2160,6291,B,148.04751060446
6256,6747,6366,B,115.408990877872
6258,9033,6366,B,21.047070984542
4062,6367,6366,B,19.838996601769
6257,6637,6366,B,3.3640774015555
4062,6366,6367,B,19.838996601769
4065,6370,6367,B,20.5835923213976
6319,9094,6370,B,17.1054528185269
4065,6367,6370,B,20.5835923213976
7551,6745,6635,B,16.6844194897373
4357,6747,6635,B,27.0004917794705
4356,6746,6635,B,23.3022555003639
4273,6636,6635,B,72.2147564834463
4273,6635,6636,B,72.2147564834463
4274,2960,6636,B,62.197695515601
6257,6366,6637,B,3.3640774015555
4276,2722,6637,B,34.3222382367395
4284,6648,6646,B,7.39686772769837
8418,9888,6648,B,38.8016441605823
4284,6646,6648,B,7.39686772769837
6156,6747,6745,B,15.891953809034
7551,6635,6745,B,16.6844194897373
4356,6635,6746,B,23.3022555003639
6156,6745,6747,B,15.891953809034
6256,6366,6747,B,115.408990877872
4357,6635,6747,B,27.0004917794705
4617,7136,7135,B,26.8124767224109
4616,2577,7135,B,0.963987631558801
4617,7135,7136,B,26.8124767224109
4797,7395,7136,B,467.99928333965
11366,14529,7136,B,798.489098428891
6260,8998,7136,B,7.55938801440208
8571,9157,7155,B,162.017933729488
4632,2640,7155,B,35.9627592639043
4795,7396,7395,B,50.6489699982698
4794,5872,7395,B,67.2881639293335
4797,7136,7395,B,467.99928333965
6223,9013,7396,B,144.846257655148
11534,14693,7396,B,22.2235781820074
4795,7395,7396,B,50.6489699982698
4796,5873,7397,B,32.1147029932474
11535,14693,7397,B,4.62019778855791
4867,2640,7477,B,36.3909062071216
4868,7478,7477,B,365.072197962114
6373,9159,7477,B,505.597884702791
4868,7477,7478,B,365.072197962114
4869,7479,7478,B,51.9019242339701
6337,9119,7479,B,6.63875390593635
4869,7478,7479,B,51.9019242339701
9753,4202,7479,B,151.056441781408
6339,9122,7479,B,356.727085236018
9755,4202,7481,B,5.28806146121232
5089,7768,7481,B,26.7884620751334
5088,7767,7766,B,23.7727641064346
5088,7766,7767,B,23.7727641064346
6111,7768,7767,B,61.9954975554375
5089,7481,7768,B,26.7884620751334
6111,7767,7768,B,61.9954975554375
5241,2159,7960,B,11.9696655606954
5243,7962,7961,B,39.8258126142701
8419,11571,7962,B,413.93762255393
5243,7961,7962,B,39.8258126142701
9444,12609,7962,B,188.540137491141
9450,12615,12609,B,21.3238001929912
11087,12626,12609,B,34.1763460122235
9444,7962,12609,B,188.540137491141
9447,11577,12610,B,428.973069956049
9449,12614,12610,B,135.80457198595
9446,12611,12610,B,22.9145842850462
9445,277,12610,B,12.7128424268661
9446,12610,12611,B,22.9145842850462
11369,14534,12611,B,228.813004191431
9449,12610,12614,B,135.80457198595
11088,12615,12614,B,51.6367373566911
9450,12609,12615,B,21.3238001929912
9459,11574,12615,B,415.382648333798
11088,12614,12615,B,51.6367373566911
9456,11573,12626,B,381.195885802475
11087,12609,12626,B,34.1763460122235
9457,11573,12627,B,27.6038935972019
9458,11574,12628,B,27.6226860450172
11089,12641,12637,B,31.3141659038566
9464,12638,12637,B,334.180630617838
9464,12637,12638,B,334.180630617838
9465,12639,12638,B,20.1787405601707
9465,12638,12639,B,20.1787405601707
9466,11577,12640,B,25.6000232158275
9472,12644,12641,B,187.637178948212
11089,12637,12641,B,31.3141659038566
9468,1170,12641,B,21.2408125100361
9469,1170,12642,B,141.420074956542
9471,12643,12642,B,30.6835048341668
9471,12642,12643,B,30.6835048341668
9470,2190,12643,B,101.093001284503
9472,12641,12644,B,187.637178948212
9757,4324,12867,B,342.569536458957
9994,11567,13113,B,124.642732193966
11366,7136,14529,B,798.489098428891
11369,12611,14534,B,228.813004191431
11478,1167,14655,B,18.2072271891086
11535,7397,14693,B,4.62019778855791
11534,7396,14693,B,22.2235781820074